,id,Speed,Flow,Density
493,E37_0,13.29,720.21168,15.053333333333333
494,E38_0,12.31,720.28272,16.253333333333334
495,-E3_0,11.76,1209.68064,28.573333333333334
496,-E3_1,16.99,720.10416,11.773333333333333
497,-E7_0,11.34,1439.7264,35.266666666666666
498,-E7_1,12.57,4472.10432,98.82666666666667
499,-E8_0,13.43,2160.8332800000003,44.69333333333334
500,-E8_1,14.87,3721.5446399999996,69.52
501,-E12_0,11.54,1944.2591999999997,46.8
502,-E12_1,12.21,2159.7048,49.13333333333333
503,-E15_0,13.12,1218.5855999999999,25.8
504,-E20_0,14.15,719.9520000000001,14.133333333333333
505,-E20_1,13.62,719.78976,14.68
506,-E23_0,13.18,663.63936,13.986666666666668
507,-E27_0,14.3,1440.0672000000002,27.973333333333336
508,-E31_0,14.73,719.76672,13.573333333333332
509,-E31_1,14.92,719.7408,13.4
510,-E34_1,13.71,1112.81328,22.546666666666667
511,-E36_1,11.87,720.17664,16.853333333333335
512,-E39_1,14.85,719.928,13.466666666666667
513,-E40_0,13.15,2399.8224000000005,50.69333333333334
514,-E40_1,10.27,3318.11376,89.74666666666667
515,E101_0,4.74,634.55328,37.18666666666666
516,E101_1,5.99,474.12048,21.986666666666665
517,E104_0,10.94,1281.2928,32.53333333333333
518,E105_1,16.05,719.5536000000002,12.453333333333335
519,E106_0,12.14,719.6591999999999,16.466666666666665
520,E108_0,10.79,1440.3355199999999,37.08
521,E108_1,11.89,719.6779200000001,16.813333333333333
522,E110_0,14.36,719.6083199999999,13.919999999999998
523,E110_1,14.48,720.0614400000001,13.813333333333333
524,E114_0,12.38,1138.56384,25.546666666666667
525,E116_0,13.29,719.5737599999999,15.04
526,E119_0,12.19,720.28272,16.413333333333334
527,E119_1,16.02,402.93504,6.986666666666667
528,E120_0,13.61,1439.8291199999999,29.386666666666663
529,E5_0,13.82,719.7456000000001,14.466666666666667
530,E5_1,14.27,719.8929599999999,14.013333333333332
531,E9_0,12.82,1440.55776,31.21333333333333
532,E9_1,11.79,1198.61856,28.240000000000002
533,E10_0,12.29,2879.39952,65.08
534,E10_1,13.0,1855.1520000000003,39.64
535,E13_0,16.3,720.5904,12.280000000000001
536,E14_0,15.07,1439.4864000000002,26.533333333333335
537,E15_1,13.59,2160.48384,44.16
538,E19_0,16.32,719.90784,12.253333333333332
539,E19_1,12.27,1127.26944,25.52
540,E22_0,12.13,719.6486400000001,16.48
541,E22_1,13.77,1439.5708800000002,29.040000000000003
542,E27_1,15.5,720.192,12.906666666666666
543,E37_0,12.4,720.192,16.133333333333333
544,E37_1,13.42,720.17088,14.906666666666666
545,E38_0,13.24,720.0441599999999,15.106666666666666
546,-E4_0,13.75,720.06,14.546666666666665
547,-E7_1,11.84,1439.55456,33.77333333333333
548,-E8_0,13.53,2178.22176,44.72
549,-E8_1,12.52,3784.24512,83.96000000000001
550,-E12_0,13.26,719.8588800000001,15.080000000000002
551,-E16_0,12.38,929.9856000000001,20.866666666666667
552,-E16_1,15.38,122.54784,2.213333333333333
553,-E26_0,14.65,720.0768000000002,13.653333333333334
